Marca temporal,"Do you have any musical training (musician, producer, recorder...)? ","If so, which instrument do you play/are you familiar with or what kind of training do you have?",How would you rate your skill on your primary instrument? ,How many years of formal music training have you had?,What is the highest level of music theory you have studied?,Do you still practice music nowadays?,"If so, how often do you practice music?",(+)6 200 vib,(-)13 200 vib,(+)12 200 vib,(+)30 200 vib,(+)10 200 vib,(-)15 200 vib,(+)9 200 vib,(-)7 200 vib,(-)8 200 vib ,(+)11 200 vib,(-)5 200 vib,(+)14 200 vib,(+)9 200 og,(+)11 200 og,(-)7 200 og,(+)14 200 og,(-)13 200 og,(-)8 200 og,(-)5 200 og,(+)6 200 og,(+)10 200 og,(-)15 200 og,(+)12 200 og,(+)30 200 og,(-)7 400 vib,(+)11 400 vib,(-)15 400 vib,(-)8 400 vib,(+)6 400 vib,(-)13 400 vib,(-)5 400 vib,(+)9 400 vib,(+)10 400 vib,(+)12 400 vib,(+)30 400 vib,(+)14 400 vib,(-)5 400 og ,(+)14 400 og,(+)6 400 og,(+)12 400 og,(-)8 400 og,(-)13 400 og,(+)9 400 og,(+)11 400 og,(+)30 400 og,(-)15 400 og,(+)10 400 og,(-)7 400 og,(-)13 1200 vib,(+)14 1200 vib,(+)12 1200 vib,(+)9 1200 vib,(-)15 1200 vib,(-)5 1200 vib,(-)7 1200 vib,(+)30 1200 vib,(+)11 1200 vib,(+)10 1200 vib,(+)6 1200 vib,(-)8 1200 vib,(+)9 1200 og,(-)15 1200 og,(+)14 1200 og,(+)10 1200 og,(+)12 1200 og,(+)6 1200 og,(-)5 1200 og,(+)30 1200 og,(+)11 1200 og,(-)8 1200 og,(-)7 1200 og,(-)13 1200 og
21/01/2026 11:18:33,Yes,guitar,Advanced,1-3 years,None,Yes,Daily,Descending,Equal,Equal,Acending,Equal,Descending,Descending,Descending,Descending,Acending,Descending,Equal,Descending,Acending,Descending,Equal,Descending,Descending,Descending,Descending,Acending,Descending,Acending,Acending,Descending,Acending,Descending,Equal,Equal,Descending,Equal,Acending,Acending,Equal,Acending,Acending,Descending,Acending,Equal,Acending,Descending,Descending,Acending,Acending,Acending,Descending,Equal,Equal,Descending,Acending,Acending,Acending,Descending,Descending,Descending,Acending,Equal,Acending,Equal,Descending,Acending,Descending,Acending,Acending,Acending,Acending,Descending,Acending,Acending,Descending,Descending,Descending
21/01/2026 13:36:32,Yes,piano,Advanced,10+ years,"Advanced (e.g., counterpoint, analysis)",Yes,Daily,Equal,Equal,Equal,Acending,Equal,Descending,Equal,Equal,Descending,Descending,Acending,Acending,Descending,Descending,Descending,Acending,Descending,Equal,Equal,Equal,Descending,Equal,Equal,Acending,Equal,Acending,Descending,Descending,Equal,Equal,Equal,Descending,Equal,Acending,Acending,Acending,Equal,Acending,Acending,Acending,Descending,Descending,Equal,Acending,Acending,Descending,Acending,Equal,Equal,Equal,Acending,Acending,Descending,Equal,Equal,Acending,Equal,Equal,Equal,Equal,Equal,Descending,Acending,Acending,Acending,Equal,Equal,Acending,Acending,Equal,Acending,Descending
21/01/2026 15:52:05,Yes,voice/ production,Intermediate,7-9 years,"Basic (e.g., notes, rhythms)",Yes,A few times a month,Equal,Descending,Acending,Acending,Acending,Descending,Acending,Equal,Descending,Equal,Descending,Acending,Acending,Equal,Equal,Equal,Descending,Equal,Descending,Equal,Acending,Descending,Acending,Acending,Equal,Acending,Descending,Acending,Equal,Equal,Equal,Acending,Equal,Acending,Acending,Acending,Acending,Acending,Equal,Acending,Descending,Descending,Acending,Equal,Acending,Descending,Equal,Descending,Equal,Acending,Acending,Equal,Equal,Descending,Equal,Acending,Equal,Acending,Equal,Equal,Equal,Descending,Acending,Acending,Acending,Equal,Equal,Acending,Equal,Descending,Equal,Descending
21/01/2026 18:45:19,Yes,piano,Beginner,4-6 years,"Basic (e.g., notes, rhythms)",No,I don't practice music,Equal,Equal,Equal,Acending,Descending,Descending,Acending,Acending,Equal,Equal,Equal,Acending,Equal,Equal,Acending,Equal,Descending,Equal,Equal,Acending,Descending,Descending,Acending,Acending,Descending,Acending,Equal,Acending,Acending,Descending,Equal,Acending,Descending,Acending,Acending,Equal,Equal,Acending,Equal,Equal,Acending,Acending,Acending,Acending,Acending,Descending,Acending,Equal,Acending,Equal,Equal,Acending,Equal,Descending,Descending,Acending,Acending,Descending,Descending,Equal,Acending,Descending,Equal,Equal,Equal,Descending,Descending,Acending,Acending,Descending,Descending,Descending
21/01/2026 18:54:06,No,,I don't play any instrument,0 years,None,Yes,A few times a week,Equal,Equal,Equal,Acending,Equal,Descending,Acending,Descending,Equal,Acending,Acending,Descending,Acending,Equal,Equal,Acending,Equal,Equal,Equal,Equal,Equal,Acending,Equal,Acending,Equal,Equal,Descending,Equal,Descending,Equal,Equal,Equal,Equal,Equal,Acending,Equal,Equal,Acending,Equal,Acending,Equal,Acending,Equal,Acending,Acending,Equal,Descending,Descending,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Acending,Acending,Equal,Equal,Equal,Acending,Descending,Descending,Acending,Acending,Equal,Equal,Acending,Equal,Descending,Equal,Equal
21/01/2026 19:32:56,Yes,double bass/ piano/ musicologist/ voice,Advanced,7-9 years,"Advanced (e.g., counterpoint, analysis)",Yes,A few times a week,Equal,Equal,Equal,Acending,Equal,Descending,Equal,Equal,Equal,Acending,Equal,Acending,Equal,Acending,Descending,Acending,Descending,Descending,Equal,Equal,Acending,Descending,Descending,Acending,Equal,Equal,Descending,Equal,Equal,Descending,Equal,Equal,Equal,Acending,Acending,Equal,Descending,Acending,Equal,Acending,Descending,Descending,Equal,Equal,Acending,Descending,Equal,Descending,Equal,Acending,Equal,Equal,Descending,Equal,Equal,Acending,Acending,Acending,Equal,Equal,Acending,Descending,Acending,Acending,Acending,Acending,Equal,Acending,Acending,Descending,Acending,Descending
21/01/2026 21:07:19,Yes,piano/ voice,Intermediate,7-9 years,"Intermediate (e.g., key signatures, harmony)",Yes,A few times a week,Equal,Descending,Equal,Acending,Equal,Descending,Equal,Equal,Descending,Descending,Equal,Equal,Descending,Equal,Descending,Descending,Descending,Descending,Equal,Descending,Acending,Descending,Acending,Acending,Equal,Equal,Descending,Descending,Equal,Acending,Acending,Equal,Acending,Equal,Descending,Descending,Equal,Descending,Equal,Descending,Descending,Descending,Descending,Acending,Acending,Descending,Acending,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Acending,Equal,Equal,Equal,Equal,Equal,Descending,Equal,Equal,Acending,Acending,Descending,Acending,Acending,Descending,Descending,Descending
22/01/2026 10:04:00,Yes,accordion,Beginner,10+ years,"Basic (e.g., notes, rhythms)",Yes,A few times a week,Equal,Equal,Equal,Equal,Equal,Equal,Acending,Descending,Descending,Acending,Descending,Acending,Acending,Equal,Descending,Acending,Descending,Descending,Equal,Acending,Acending,Descending,Acending,Acending,Descending,Acending,Descending,Descending,Acending,Acending,Descending,Acending,Acending,Acending,Acending,Acending,Descending,Acending,Acending,Acending,Acending,Descending,Acending,Acending,Acending,Acending,Acending,Equal,Equal,Acending,Acending,Acending,Descending,Acending,Descending,Acending,Acending,Acending,Acending,Descending,Descending,Descending,Equal,Acending,Acending,Acending,Descending,Acending,Acending,Descending,Descending,Descending
22/01/2026 12:49:41,Yes,violin,Expert,10+ years,"Advanced (e.g., counterpoint, analysis)",Yes,Daily,Acending,Descending,Acending,Acending,Equal,Descending,Acending,Equal,Equal,Acending,Equal,Acending,Acending,Acending,Equal,Acending,Descending,Descending,Descending,Acending,Acending,Descending,Acending,Acending,Equal,Acending,Descending,Equal,Equal,Descending,Equal,Equal,Equal,Equal,Acending,Acending,Equal,Acending,Acending,Acending,Descending,Descending,Acending,Acending,Acending,Descending,Acending,Descending,Equal,Acending,Acending,Acending,Equal,Equal,Equal,Acending,Acending,Acending,Acending,Equal,Acending,Descending,Acending,Acending,Acending,Acending,Descending,Acending,Acending,Descending,Descending,Descending
24/01/2026 20:53:13,Yes,guitar/ piano,Advanced,10+ years,"Advanced (e.g., counterpoint, analysis)",Yes,A few times a week,Equal,Equal,Acending,Descending,Equal,Acending,Acending,Descending,Equal,Acending,Acending,Acending,Descending,Acending,Acending,Acending,Descending,Descending,Equal,Acending,Acending,Descending,Descending,Acending,Equal,Acending,Acending,Equal,Acending,Equal,Acending,Acending,Acending,Acending,Acending,Descending,Acending,Acending,Acending,Acending,Acending,Acending,Acending,Acending,Acending,Descending,Descending,Descending,Equal,Acending,Equal,Acending,Acending,Equal,Acending,Acending,Equal,Acending,Acending,Equal,Equal,Descending,Acending,Acending,Acending,Acending,Descending,Acending,Acending,Equal,Descending,Descending
27/01/2026 0:19:37,Yes,voice/ guitar,Intermediate,7-9 years,"Basic (e.g., notes, rhythms)",Yes,A few times a week,Equal,Equal,Acending,Acending,Acending,Descending,Acending,Descending,Descending,Acending,Equal,Acending,Acending,Acending,Descending,Acending,Descending,Acending,Equal,Acending,Acending,Descending,Acending,Acending,Equal,Acending,Descending,Descending,Equal,Descending,Descending,Descending,Acending,Equal,Acending,Acending,Descending,Acending,Acending,Acending,Descending,Descending,Acending,Acending,Acending,Descending,Acending,Descending,Equal,Acending,Acending,Acending,Descending,Equal,Equal,Acending,Acending,Acending,Equal,Descending,Acending,Descending,Acending,Acending,Acending,Acending,Descending,Acending,Acending,Descending,Descending,Descending
27/01/2026 13:24:57,Yes,piano,Advanced,10+ years,"Advanced (e.g., counterpoint, analysis)",Yes,Daily,Equal,Equal,Equal,Acending,Equal,Descending,Equal,Descending,Descending,Acending,Descending,Acending,Equal,Acending,Descending,Acending,Descending,Descending,Descending,Equal,Acending,Descending,Acending,Acending,Acending,Acending,Descending,Descending,Acending,Descending,Equal,Acending,Equal,Equal,Acending,Acending,Equal,Equal,Acending,Acending,Descending,Descending,Acending,Acending,Acending,Descending,Equal,Descending,Descending,Acending,Acending,Acending,Descending,Equal,Descending,Acending,Acending,Acending,Acending,Descending,Acending,Descending,Acending,Descending,Acending,Equal,Equal,Acending,Acending,Descending,Descending,Descending
28/01/2026 10:44:00,Yes,violin ,Expert,10+ years,"Advanced (e.g., counterpoint, analysis)",Yes,Daily,Equal,Descending,Acending,Acending,Equal,Descending,Acending,Descending,Descending,Acending,Equal,Acending,Acending,Acending,Equal,Acending,Descending,Equal,Descending,Acending,Acending,Descending,Acending,Acending,Equal,Acending,Descending,Descending,Acending,Descending,Descending,Acending,Acending,Acending,Acending,Acending,Descending,Acending,Acending,Acending,Descending,Descending,Acending,Acending,Acending,Descending,Acending,Descending,Equal,Acending,Acending,Acending,Descending,Descending,Equal,Acending,Acending,Acending,Acending,Descending,Acending,Descending,Acending,Acending,Acending,Acending,Equal,Acending,Acending,Descending,Descending,Descending
28/01/2026 15:00:40,No,,I don't play any instrument,1-3 years,"Basic (e.g., notes, rhythms)",No,I don't practice music,Equal,Equal,Equal,Acending,Equal,Equal,Equal,Equal,Equal,Equal,Acending,Equal,Equal,Equal,Equal,Acending,Equal,Equal,Equal,Acending,Acending,Equal,Equal,Acending,Equal,Acending,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Acending,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Acending,Acending,Acending,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Descending,Equal,Acending,Equal,Equal,Equal,Equal,Equal,Equal,Acending,Equal
28/01/2026 15:47:28,No,,I don't play any instrument,0 years,None,No,I don't practice music,Equal,Equal,Equal,Acending,Equal,Descending,Acending,Equal,Acending,Descending,Equal,Equal,Equal,Equal,Equal,Equal,Descending,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal
28/01/2026 15:48:00,Yes,piano,Beginner,4-6 years,"Intermediate (e.g., key signatures, harmony)",No,I don't practice music,Equal,Equal,Equal,Descending,Equal,Descending,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Descending,Equal,Equal,Equal,Equal,Equal,Equal,Descending,Acending,Acending,Acending,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Acending,Acending,Acending,Equal,Equal,Descending,Equal,Acending,Descending,Descending,Acending,Equal,Acending,Descending,Equal,Descending,Equal,Acending,Equal,Acending,Equal,Equal,Equal,Acending,Equal,Equal,Equal,Descending,Equal,Descending,Acending,Equal,Acending,Equal,Descending,Acending,Acending,Descending,Equal,Descending
28/01/2026 15:58:10,Yes,piano,Advanced,10+ years,"Intermediate (e.g., key signatures, harmony)",Yes,Rarely,Equal,Equal,Equal,Acending,Equal,Equal,Equal,Equal,Equal,Acending,Equal,Acending,Acending,Acending,Equal,Acending,Equal,Descending,Equal,Equal,Acending,Descending,Acending,Acending,Equal,Acending,Descending,Descending,Equal,Descending,Equal,Acending,Acending,Equal,Acending,Equal,Equal,Acending,Equal,Acending,Equal,Descending,Acending,Acending,Acending,Descending,Acending,Descending,Equal,Acending,Acending,Equal,Descending,Equal,Equal,Acending,Acending,Acending,Equal,Equal,Acending,Descending,Acending,Acending,Acending,Acending,Equal,Acending,Acending,Descending,Descending,Descending
28/01/2026 16:05:17,Yes,piano,Beginner,1-3 years,"Basic (e.g., notes, rhythms)",No,I don't practice music,Equal,Equal,Equal,Acending,Acending,Descending,Acending,Descending,Descending,Acending,Equal,Acending,Acending,Acending,Equal,Acending,Descending,Equal,Equal,Acending,Acending,Descending,Acending,Acending,Equal,Acending,Descending,Equal,Acending,Acending,Equal,Acending,Acending,Acending,Acending,Acending,Descending,Acending,Acending,Acending,Descending,Descending,Descending,Acending,Acending,Descending,Acending,Descending,Equal,Acending,Equal,Equal,Descending,Descending,Equal,Acending,Equal,Equal,Equal,Descending,Acending,Descending,Acending,Acending,Acending,Acending,Descending,Acending,Acending,Equal,Descending,Descending
28/01/2026 22:59:58,Not sure,guitar/ piano,Beginner,1-3 years,"Basic (e.g., notes, rhythms)",No,Rarely,Equal,Equal,Equal,Acending,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Descending,Equal,Acending,Equal,Descending,Descending,Descending,Acending,Acending,Equal,Equal,Acending,Acending,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Acending,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Descending,Equal,Equal,Equal,Equal,Equal,Equal,Descending,Equal,Equal,Acending,Equal,Equal,Equal,Equal,Equal,Acending,Acending,Equal,Acending,Acending,Equal,Acending,Equal,Equal,Equal,Equal